City,Country,lat,long,temp,humidity,cloudiness,wind speed
Maragogi,BR,-9.01,-35.22,79.82600000000009,73,16,4.69
San Andrés,CO,12.58,-81.7,82.4,88,75,6.2
Meulaboh,ID,4.14,96.13,81.32000000000006,77,92,1.2
Irving,US,32.81,-96.95,80.2760000000001,74,90,5.7
Stara Vyzhivka,UA,51.44,24.44,72.08600000000007,56,50,2.26
Saint Paul Harbor,US,57.79,-152.41,60.8,55,1,5.1
Villarrica,PY,-25.75,-56.43,56.73200000000001,62,84,1.21
Mar del Plata,AR,-38.0,-57.56,45.17600000000009,80,0,2.1
Vilyuysk,RU,63.76,121.62,68.01800000000009,55,47,1.17
Rikitea,PF,-23.12,-134.97,73.54400000000007,86,100,5.4
Mataura,NZ,-46.19,168.86,39.00200000000008,83,24,1.34
Bluff,NZ,-46.6,168.33,39.00200000000008,83,9,1.34
Arraial do Cabo,BR,-22.97,-42.03,68.0,77,75,2.6
Warwick,US,41.7,-71.42,67.98200000000001,82,75,4.1
Lima,PE,-12.04,-77.03,59.0,93,90,3.6
Albany,US,42.6,-73.97,71.09600000000005,74,98,0.95
San Jose,US,37.34,-121.89,56.73200000000001,82,40,3.6
Chokurdakh,RU,70.63,147.92,36.464000000000034,89,100,5.82
Laredo,US,27.51,-99.51,79.75400000000005,78,1,5.1
Bredasdorp,ZA,-34.53,20.04,64.4,39,2,2.6
Pangnirtung,CA,66.15,-65.71,51.8,76,75,6.2
Jamestown,US,42.1,-79.24,71.042,82,1,3.1
Ushuaia,AR,-54.8,-68.3,26.6,92,40,3.1
Erzin,TR,36.96,36.2,84.00200000000008,86,0,5.36
East London,ZA,-33.02,27.91,62.6,39,6,4.1
Faanui,PF,-16.48,-151.75,77.72000000000006,83,31,6.44
Lebu,CL,-37.62,-73.65,52.79000000000002,78,32,0.64
Souillac,MU,-20.52,57.52,75.2,64,40,5.1
Deputatsky,RU,69.3,139.9,37.07600000000009,79,16,5.56
Mbini,GQ,1.57,9.61,82.4,74,40,4.1
Vaini,TO,-21.2,-175.2,73.4,78,40,3.1
Ugoofaaru,MV,5.67,73.0,83.82200000000003,75,100,6.07
