city,Country,lat,long,temp,humidity,cloudiness,wind speed
Albany,US,42.6,-73.97,290.69,90,88,3.43
Ilulissat,GL,69.22,-51.1,283.15,57,20,2.1
Castro,BR,-24.79,-50.01,286.31,91,68,2.19
George Town,MY,5.41,100.34,301.37,88,20,1.0
Punta Arenas,CL,-53.15,-70.92,268.92,92,68,1.5
Lagoa,PT,39.05,-27.98,293.8,76,97,5.47
Bandarbeyla,SO,9.49,50.81,305.98,38,100,12.99
Hermanus,ZA,-34.42,19.23,297.04,36,0,0.89
Bredasdorp,ZA,-34.53,20.04,296.15,28,0,6.2
Garmsār,IR,35.22,52.34,309.87,16,5,1.75
Leningradskiy,RU,69.38,178.42,276.8,88,7,4.6
Atuona,PF,-9.8,-139.03,299.37,75,4,6.35
Cape Town,ZA,-33.93,18.42,297.09,23,0,5.7
Tyukhtet,RU,56.54,89.3,293.85,55,0,3.41
Najrān,SA,17.49,44.13,313.15,16,75,3.1
Lufilufi,WS,-13.87,-171.6,298.71,94,29,3.58
Belyy Yar,RU,53.6,91.39,298.15,50,53,5.0
Busselton,AU,-33.65,115.33,280.45,68,22,2.81
Faanui,PF,-16.48,-151.75,298.57,74,2,3.33
Puerto Ayora,EC,-0.74,-90.35,292.59,92,62,0.45
Katsuura,JP,35.13,140.3,293.41,94,75,4.6
Kapaa,US,22.08,-159.32,296.52,100,90,2.1
Rørvik,NO,64.86,11.24,289.15,93,75,3.6
Hay River,CA,60.82,-115.8,286.15,93,75,2.6
Kavieng,PG,-2.57,150.8,300.88,76,20,2.73
Bethel,US,41.37,-73.41,291.47,88,90,4.04
Adelanto,US,34.58,-117.41,291.56,64,0,1.75
Mahébourg,MU,-20.41,57.7,297.15,64,40,6.7
Reggello,IT,43.68,11.53,297.85,53,75,4.6
Doha,QA,25.29,51.53,314.42,34,0,5.1
Manisa Province,TR,38.83,28.17,306.15,31,0,5.1
Coquimbo,CL,-29.95,-71.34,283.15,87,31,5.1
Shihezi,CN,44.3,86.03,309.92,12,0,5.97
Severo-Kuril'sk,RU,50.68,156.12,283.26,90,59,1.79
Ushuaia,AR,-54.8,-68.3,269.15,92,1,2.6
Rikitea,PF,-23.12,-134.97,296.1,79,100,2.16
Imeni Poliny Osipenko,RU,52.42,136.49,293.97,75,99,3.77
Avera,US,33.19,-82.53,296.4,82,1,1.5
Kudahuvadhoo,MV,2.67,72.89,302.53,67,86,2.16
Nantucket,US,41.28,-70.1,289.74,87,1,4.1
Mataura,NZ,-46.19,168.86,272.1,98,50,0.65
East London,ZA,-33.02,27.91,294.15,35,0,2.6
Qaqortoq,GL,60.72,-46.03,288.15,33,20,2.1
Berdigestyakh,RU,62.1,126.7,297.0,59,53,1.2
Tiksi,RU,71.69,128.87,279.11,76,100,10.0
Scarborough,GB,54.28,-0.4,295.39,70,12,1.79
Jamestown,US,42.1,-79.24,292.05,93,75,4.1
Bonavista,CA,48.65,-53.11,283.71,82,65,4.02
Rivera,UY,-30.91,-55.55,281.17,96,70,4.27
Mar del Plata,AR,-38.0,-57.56,278.32,93,71,2.1
Kyra,RU,49.58,111.98,287.51,61,71,3.93
Hong Kong,HK,22.29,114.16,302.8,70,32,5.34
Port Alfred,ZA,-33.59,26.89,296.24,25,0,4.56
Jiuquan,CN,39.74,98.52,292.3,47,86,1.64
Ponta do Sol,PT,32.67,-17.1,296.61,69,1,2.24
Tambopata,PE,-12.73,-69.18,295.95,79,41,0.54
Mehamn,NO,71.04,27.85,287.6,72,20,8.7
