City,Country,lat,long,temp,humidity,cloudiness,wind speed
Albany,US,42.6,-73.97,63.57200000000004,90,88,3.43
Ilulissat,GL,69.22,-51.1,50.0,57,20,2.1
Castro,BR,-24.79,-50.01,55.688000000000045,91,68,2.19
George Town,MY,5.41,100.34,82.79600000000005,88,20,1.0
Punta Arenas,CL,-53.15,-70.92,24.38600000000007,92,68,1.5
Lagoa,PT,39.05,-27.98,69.17000000000006,76,97,5.47
Bandarbeyla,SO,9.49,50.81,91.09400000000008,38,100,12.99
Hermanus,ZA,-34.42,19.23,75.00200000000008,36,0,0.89
Bredasdorp,ZA,-34.53,20.04,73.4,28,0,6.2
Garmsār,IR,35.22,52.34,98.09600000000005,16,5,1.75
Leningradskiy,RU,69.38,178.42,38.570000000000064,88,7,4.6
Atuona,PF,-9.8,-139.03,79.19600000000005,75,4,6.35
Cape Town,ZA,-33.93,18.42,75.092,23,0,5.7
Tyukhtet,RU,56.54,89.3,69.26000000000008,55,0,3.41
Najrān,SA,17.49,44.13,104.0,16,75,3.1
Lufilufi,WS,-13.87,-171.6,78.00800000000001,94,29,3.58
Belyy Yar,RU,53.6,91.39,77.0,50,53,5.0
Busselton,AU,-33.65,115.33,45.14000000000002,68,22,2.81
Faanui,PF,-16.48,-151.75,77.75600000000003,74,2,3.33
Puerto Ayora,EC,-0.74,-90.35,66.99199999999999,92,62,0.45
Katsuura,JP,35.13,140.3,68.46800000000009,94,75,4.6
Rørvik,NO,64.86,11.24,60.8,93,75,3.6
Hay River,CA,60.82,-115.8,55.4,93,75,2.6
Kavieng,PG,-2.57,150.8,81.91400000000003,76,20,2.73
Bethel,US,41.37,-73.41,64.97600000000008,88,90,4.04
Adelanto,US,34.58,-117.41,65.13800000000005,64,0,1.75
Mahébourg,MU,-20.41,57.7,75.2,64,40,6.7
Reggello,IT,43.68,11.53,76.46000000000008,53,75,4.6
Doha,QA,25.29,51.53,106.28600000000007,34,0,5.1
Manisa Province,TR,38.83,28.17,91.4,31,0,5.1
Coquimbo,CL,-29.95,-71.34,50.0,87,31,5.1
Shihezi,CN,44.3,86.03,98.18600000000006,12,0,5.97
Severo-Kuril'sk,RU,50.68,156.12,50.19800000000002,90,59,1.79
Ushuaia,AR,-54.8,-68.3,24.8,92,1,2.6
Rikitea,PF,-23.12,-134.97,73.31000000000009,79,100,2.16
Imeni Poliny Osipenko,RU,52.42,136.49,69.47600000000008,75,99,3.77
Avera,US,33.19,-82.53,73.85,82,1,1.5
Kudahuvadhoo,MV,2.67,72.89,84.88399999999999,67,86,2.16
Nantucket,US,41.28,-70.1,61.86200000000006,87,1,4.1
Mataura,NZ,-46.19,168.86,30.11000000000008,98,50,0.65
East London,ZA,-33.02,27.91,69.8,35,0,2.6
Qaqortoq,GL,60.72,-46.03,59.0,33,20,2.1
Berdigestyakh,RU,62.1,126.7,74.93000000000004,59,53,1.2
Tiksi,RU,71.69,128.87,42.728000000000065,76,100,10.0
Scarborough,GB,54.28,-0.4,72.03200000000001,70,12,1.79
Jamestown,US,42.1,-79.24,66.02000000000007,93,75,4.1
Bonavista,CA,48.65,-53.11,51.008,82,65,4.02
Rivera,UY,-30.91,-55.55,46.43600000000007,96,70,4.27
Mar del Plata,AR,-38.0,-57.56,41.306000000000026,93,71,2.1
Kyra,RU,49.58,111.98,57.84800000000003,61,71,3.93
Hong Kong,HK,22.29,114.16,85.37000000000006,70,32,5.34
Port Alfred,ZA,-33.59,26.89,73.56200000000005,25,0,4.56
Jiuquan,CN,39.74,98.52,66.47000000000006,47,86,1.64
Ponta do Sol,PT,32.67,-17.1,74.22800000000007,69,1,2.24
Tambopata,PE,-12.73,-69.18,73.04000000000002,79,41,0.54
Mehamn,NO,71.04,27.85,58.01000000000008,72,20,8.7
Port Elizabeth,ZA,-33.92,25.57,75.2,33,0,2.1
Salalah,OM,17.02,54.09,86.0,79,40,4.6
Sittwe,MM,20.15,92.9,84.90200000000007,79,100,2.62
Pangnirtung,CA,66.15,-65.71,59.9,37,79,2.17
Hamilton,US,39.18,-84.53,68.95400000000005,94,50,0.41
Klaksvík,FO,62.23,-6.59,53.6,76,12,7.2
Tuktoyaktuk,CA,69.45,-133.04,39.63200000000002,78,2,4.97
Chokurdakh,RU,70.63,147.92,48.128000000000064,67,54,3.12
Bushenyi,UG,-0.59,30.21,76.38800000000005,40,100,3.87
Nakapiripirit,UG,1.92,34.78,71.88800000000005,70,99,2.03
Roebourne,AU,-20.78,117.13,69.27800000000006,70,0,2.99
Oranjemund,NA,-28.55,16.43,74.04800000000003,21,0,7.64
St. George's,GD,12.06,-61.75,84.2,74,20,6.2
Taoudenni,ML,22.68,-3.98,110.39000000000001,13,8,1.42
Benghazi,LY,32.12,20.07,82.83200000000002,59,0,5.52
Saldanha,ZA,-33.01,17.94,75.2,25,0,7.7
Barrow,US,71.29,-156.79,33.8,80,90,6.2
Chipinge,ZW,-20.19,32.62,59.846000000000046,53,67,3.74
Ribeira Grande,PT,38.52,-28.7,73.4,56,75,4.1
Srednekolymsk,RU,67.45,153.68,45.69800000000002,96,100,2.59
Sri Aman,MY,1.24,111.46,80.31200000000005,88,87,3.1
Bluff,NZ,-46.6,168.33,37.688000000000045,83,16,2.76
Diffa,NE,13.32,12.61,91.14800000000002,42,45,4.55
Saint Paul Harbor,US,57.79,-152.41,55.4,87,90,3.1
Zhigansk,RU,66.77,123.37,56.228000000000065,90,100,3.7
Hambantota,LK,6.12,81.12,89.6,62,75,6.2
Dikson,RU,73.51,80.55,41.66600000000001,92,75,4.54
Kumul,CN,42.8,93.45,93.434,14,26,2.84
Yeppoon,AU,-23.13,150.73,50.0,61,0,1.84
Berzovia,RO,45.43,21.63,75.56000000000009,64,40,6.2
Gigmoto,PH,13.78,124.39,82.61600000000001,78,97,2.68
Saint George,US,37.1,-113.58,77.91800000000009,23,1,1.5
Nur-Sultan,KZ,51.18,71.45,87.8,40,69,11.0
Tabory,RU,58.52,64.55,90.80600000000003,38,65,3.8
Nikolskoye,RU,59.7,30.79,68.684,31,0,6.0
Bengkulu,ID,-3.8,102.27,79.57400000000001,82,99,0.98
Avarua,CK,-21.21,-159.78,64.4,88,10,1.0
Tūkrah,LY,32.53,20.58,83.04800000000003,53,0,4.91
Vikhorevka,RU,56.12,101.16,59.0,93,75,4.0
Hobart,AU,-42.88,147.33,37.274000000000015,86,20,1.5
São Filipe,CV,14.9,-24.5,75.308,77,49,3.8
Talcahuano,CL,-36.72,-73.12,53.6,93,100,9.3
Carutapera,BR,-1.2,-46.02,79.64600000000004,89,71,3.23
Awjilah,LY,29.11,21.29,100.184,19,0,4.17
Sidmouth,GB,50.69,-3.24,70.10600000000002,64,40,4.1
Bambous Virieux,MU,-20.34,57.76,75.57800000000006,64,40,6.7
Nome,US,64.5,-165.41,54.338000000000044,87,90,1.5
Manacapuru,BR,-3.3,-60.62,75.2,94,45,1.26
Bonfim,BR,3.08,-59.95,78.38600000000007,80,74,0.71
Eureka,US,40.8,-124.16,55.202000000000076,93,14,0.45
Usinsk,RU,65.99,57.53,71.25800000000001,61,100,2.54
Yuanping,CN,38.72,112.76,66.57800000000006,88,57,0.94
Kibuye,RW,-2.06,29.35,73.4,46,75,9.3
Yatou,CN,37.15,122.38,69.09800000000003,92,98,3.48
Hithadhoo,MV,-0.6,73.08,84.72200000000004,72,90,4.96
Fort Nelson,CA,58.81,-122.7,52.66400000000003,99,100,0.97
Longyearbyen,SJ,78.22,15.64,50.0,71,40,1.0
Emerald,AU,-23.53,148.17,51.56600000000001,32,0,3.6
Berezeni,RO,46.38,28.15,81.59000000000002,41,78,0.94
Solnechnyy,RU,50.72,136.63,67.04600000000005,93,88,1.53
Khatanga,RU,71.97,102.5,43.79000000000002,84,100,7.49
Sorong,ID,-0.88,131.25,79.68200000000002,82,97,2.19
El Fuerte,MX,26.42,-108.62,81.24800000000002,63,4,1.04
Ahipara,NZ,-35.17,173.17,58.64000000000002,89,100,4.02
Lethem,GY,3.38,-59.8,78.53000000000004,79,60,0.96
Carballo,ES,43.21,-8.69,76.29800000000003,60,23,4.02
Henties Bay,NA,-22.12,14.28,82.67000000000006,19,0,8.32
Hilo,US,19.73,-155.09,70.808,88,90,2.1
